30000001,1,1,66,1,1,1,0,1,7,1379,1437,380,868,1164,403,439
30000003,1,1,44,2,1,1,0,1,19,902,336,178,1516,43,123,1393
30000004,1,1,83,2,4,1,0,2,34,311,369,573,443,907,200,177
30000008,2,2,4,1,1,1,10,8,59,829,1437,337,119,201,1484,688
30000009,1,1,79,2,1,1,0,1,10,1437,673,619,371,169,162,204
30000012,1,1,73,1,1,1,0,1,10,1437,913,441,156,1628,137,214
30000013,1,1,34,1,1,1,0,16,26,634,31,907,571,653,257,1168
30000014,1,1,59,1,3,1,0,1,10,1437,462,673,619,907,454,439
30000015,1,1,7,2,2,3,12,6,55,1437,677,619,290,141,1627,829
30000016,1,1,47,1,2,3,0,1,10,18,1437,619,673,495,177,492
30000017,1,1,67,2,3,1,0,1,10,1437,619,673,793,63,1239,1446
30000018,1,1,51,1,2,2,0,1,16,18,370,654,200,49,616,1486
30000020,1,1,35,2,1,1,1,1,7,1380,1437,673,370,198,200,868
30000022,1,1,68,1,2,4,0,3,63,1323,1437,199,119,162,156,1444
30000023,1,1,57,1,1,1,0,2,35,357,1437,775,495,573,1525,593
30000024,1,1,85,1,3,1,0,1,10,1437,619,673,370,907,643,485
30000025,1,1,56,1,1,1,6,6,56,18,620,673,370,453,905,868
30000026,1,1,52,1,2,1,43,9,25,18,1175,905,665,630,176,1437
30000027,1,1,63,1,1,1,0,1,10,18,1437,619,680,179,1172,1516
30000028,1,1,47,1,1,1,4,16,26,18,31,673,1437,619,633,631
30000030,1,1,86,1,1,1,0,1,18,620,443,498,911,94,49,121
30000031,1,1,54,1,1,1,0,1,10,18,1437,619,673,799,797,200
30000033,1,1,58,2,4,1,0,1,10,1437,619,673,178,439,171,189
30000034,1,1,24,2,1,1,0,3,63,1278,727,1437,119,682,1279,1277
30000036,1,1,29,1,3,1,0,3,63,1270,1437,1343,1360,257,688,267
30000039,1,1,25,1,1,1,7,16,26,18,31,913,1437,620,1047,1175
30000040,1,1,49,1,1,1,0,1,15,1076,347,49,1161,429,904,439
30000042,1,1,30,2,1,1,1,1,16,18,677,1175,620,678,1526,907
30000044,1,1,45,2,1,1,0,1,10,18,1437,913,620,441,200,907
30000045,1,1,81,2,1,1,0,1,10,1437,620,673,370,907,210,171
30000046,1,1,90,1,4,1,0,1,16,18,620,370,1175,655,176,498
30000047,1,1,32,1,2,2,2,9,25,10,1437,289,673,469,461,176
30000048,1,1,55,1,3,1,0,1,16,18,1175,673,155,733,620,176
30000050,1,1,44,2,1,1,0,1,10,1437,620,673,439,189,108,1569
30000051,1,1,86,1,1,1,0,1,16,18,621,673,498,443,202,911
30000052,1,1,46,1,2,1,2,6,55,1437,620,655,631,18,1175,674
30000053,1,1,73,2,1,4,0,1,16,18,620,643,122,439,171,1514
30000054,1,1,87,2,1,1,0,1,16,18,673,913,620,444,498,664
30000055,1,1,65,2,2,2,0,1,18,620,673,200,923,49,190,192
30000058,1,1,51,2,1,1,16,6,55,18,1437,655,620,543,1134,499
30000059,1,1,56,2,1,1,0,1,10,1437,620,347,439,195,203,357
30000060,1,1,66,1,1,1,0,1,10,1437,673,620,907,211,1155,573
30000061,1,1,62,1,1,1,8,4,36,536,1437,620,655,18,654,1175
30000062,1,1,62,1,1,1,5,6,55,18,1437,905,1175,634,655,620
30000063,1,1,79,1,2,1,9,6,55,18,1437,620,673,154,907,199
30000064,1,1,64,1,2,3,5,6,55,18,1437,620,655,1175,654,907
30000065,1,1,76,2,1,1,0,1,10,1437,620,1166,1078,843,210,171
30000066,1,1,89,2,1,1,0,1,10,1437,620,1254,923,907,133,121
30000067,1,1,68,2,1,1,0,1,10,18,1437,680,118,907,4,1486
30000069,1,1,39,2,1,1,0,1,10,18,673,370,1437,620,913,483
30000070,1,1,83,1,1,1,0,1,10,1437,673,176,440,907,620,495
30000071,1,1,63,2,1,1,0,1,7,1163,867,1161,49,439,171,189
30000073,1,1,60,1,2,2,18,6,55,1437,18,655,620,1175,907,128
30000074,4,1,71,2,3,1,3,3,63,1234,1437,620,1407,672,119,177
30000076,1,1,71,2,1,1,0,1,10,18,1437,1175,673,907,198,1504
30000078,1,1,63,2,1,1,0,6,55,1437,673,620,200,573,1607,210
30000079,1,1,84,1,1,2,0,1,10,1437,620,673,644,216,1514,1504
